# https://civitai.com/articles/14248/female-character-database-and-prompt-table-for-comfyui-and-pony-sdxl
2b from nier automata, white hair, nier automata setting
archdemon iblis from tenkafuma, red hair, tenkafuma setting
archdemon satan from tenkafuma, black hair, tenkafuma setting
arcueid brunestud from tsukihime, blonde hair, tsukihime setting
aria kisaki from 25 dimensional seduction, blonde hair, 25 dimensional seduction setting
aria from akame ga kill, blonde hair, akame ga kill setting
arin kannazuki from trinity seven, blonde hair, trinity seven setting
arisa mikami from triage x, black hair, triage x setting
ark royal from azur lane, dark brown hair, azur lane setting
arlecchino from genshin impact, white black hair, genshin impact setting
armaroid lady from space adventure cobra, silver hair, space adventure cobra setting
arnett mcmillan from freezing manga-version, red hair, freezing manga-version setting
arnett mcmillan from freezing, red hair, freezing setting
arnice from nights of azure, red hair, nights of azure setting
arona from blue archive, blue hair, blue archive setting
arrow from fire force, black hair, fire force setting
artoria pendragon from fate-series, blonde hair, fate-series setting
asagi igawa from action taimanin, green hair, action taimanin setting
ashley graham from resident evil, blonde hair, resident evil setting
asia argento from high school dxd, blonde hair, high school dxd setting
asia argento from high school dxd, blonde hair, high school dxd setting
asmodeus from seven mortal sins, pink hair, seven mortal sins setting
astaredh female variant from soul calibur, black hair, soul calibur setting
astaroth from seven mortal sins, green hair, seven mortal sins setting
astra yao from zenless zone zero, black hair, zenless zone zero setting
astra yao from zenless zone zero, dark green hair, zenless zone zero setting
astraea from arrowmancer, white hair, arrowmancer setting
astraea from heavens lost property, blonde hair, heavens lost property setting
asuka langley soryu from neon genesis evangelion, red hair, neon genesis evangelion setting
asuka langley soryu from neon genesis evangelion, red hair, neon genesis evangelion setting
asuka from senran kagura, brown hair, senran kagura setting
asuka from senran kagura, dark brown hair, senran kagura setting
asuna yuuki from sword art online, orange-brown hair, sword art online setting
atago from azur lane, white hair, azur lane setting
atena saotome from mother of the goddess dormitory, rose hair, mother of the goddess dormitory setting
athena asamiya from the king of fighters, purple hair, the king of fighters setting
atom eve from image comics, red hair, image comics setting
attia simmons from freezing, green hair, freezing setting
aurora from azur lane, blonde hair, azur lane setting
aurora from league of legends, white blue hair, league of legends setting
aveline de grandpré from assassins creed iii liberation, black hair, assassins creed iii liberation setting
aya brea from parasite eve, blonde hair, parasite eve setting
aya iseshima from master of martial hearts, black hair, master of martial hearts setting
aya natsume from tenjo tenge, brown hair, tenjo tenge setting
aya from oneechanbara, brown hair, oneechanbara setting
ayaka kamisato from genshin impact, white hair, genshin impact setting
ayaka mizusawa from puraore, brown hair, puraore setting
ayame kajou from shimoneta, black hair, shimoneta setting
ayane from dead or alive, violet hair, dead or alive setting
ayla from punishing gray raven, purple hair, punishing gray raven setting
azami kurokawa from blue archive, black hair, blue archive setting
azuma from arslan senki, black hair, arslan senki setting
azuma from azur lane, dark blue hair, azur lane setting
azura from fire emblem, light blue hair, fire emblem setting
azusa aizawa from blue archive, black hair, blue archive setting
b jenet from fatal fury, blonde hair, fatal fury setting
bb hood from darkstalkers, blonde hair, darkstalkers setting
baiken from guilty gear, red hair, guilty gear setting
balalaika from black lagoon, blonde hair, black lagoon setting
ballistic from image comics, blonde hair, image comics setting
baltimore from azur lane, brown hair, azur lane setting
bambietta basterbine from bleach manga, brown hair, bleach manga setting
barbara from genshin impact, blonde hair, genshin impact setting
barbara from grimgar of fantasy and ash, brown hair, grimgar of fantasy and ash setting
barbarella from dynamite, blonde hair, dynamite setting
bathory from destiny child, silver hair, destiny child setting
bayonetta umbran from bayonetta alt form, black hair, bayonetta alt form setting
bayonetta from bayonetta, black hair, bayonetta setting
beatrice from rezero, blonde hair, rezero setting
beatrix from final fantasy ix, silver hair, final fantasy ix setting
becky blackbell from spy x family, blonde hair, spy x family setting
beelzebub from seven mortal sins, green hair, seven mortal sins setting
beidou from genshin impact, black hair, genshin impact setting
bel'veth from league of legends, white hair, league of legends setting
belfast from azur lane, silver hair, azur lane setting
belial from seven mortal sins, purple hair, seven mortal sins setting
belldandy from oh my goddess, light brown hair, oh my goddess setting
belle from disneys beauty and the beast, brown hair, disneys beauty and the beast setting
berlin from mist train girls, blonde hair, mist train girls setting
betsy braddock from x-men, purple hair, x-men setting
bianca from punishing gray raven, blonde hair, punishing gray raven setting
big barda from dc comics new gods, black hair, dc comics new gods setting
bishamon from noragami, blonde hair, noragami setting
bismarck from azur lane, blonde hair, azur lane setting
black canary from dc comics, blonde hair, dc comics setting
black cat from marvel comics, platinum blonde hair, marvel comics setting
black knight female mod from shovel knight, black hair, shovel knight setting
black prince from azur lane, black hair, azur lane setting
black rock shooter from supercell huke, black hair, supercell huke setting
black swan from honkai star rail, violet hair, honkai star rail setting
black widow from marvel comics, red hair, marvel comics setting
blair from soul eater, violet hair, soul eater setting
blue mary from the king of fighters, blonde hair, the king of fighters setting
bo-katan kryze from star wars the clone wars, red hair, star wars the clone wars setting
boa hancock from one piece, black hair, one piece setting
bocchi from bocchi the rock, rose hair, bocchi the rock setting
boise from azur lane, light brown hair, azur lane setting
bolos sister from shantae riskys revenge, brown hair, shantae riskys revenge setting
bounty hunter from darkest dungeon, helmet hair, darkest dungeon setting
brandish μ from fairy tail, green hair, fairy tail setting
bremerton from azur lane, brown-red hair, azur lane setting
brest from azur lane, silver hair, azur lane setting
bronya zaychik from honkai impact 3rd, gray/silver hair, honkai impact 3rd setting
brünhild from record of ragnarok, silver hair, record of ragnarok setting
buffy summers from buffy the vampire slayer, blonde hair, buffy the vampire slayer setting
bullet from blazblue, black hair, blazblue setting
bulma from dragon ball, light blue hair, dragon ball setting
bunny from the first descendant, orange hair, the first descendant setting
burnice white from zenless zone zero, white hair, zenless zone zero setting
burnice white from zenless zone zero, blonde hair, zenless zone zero setting
cc from code geass, green hair, code geass setting
caesar king from zenless zone zero, blonde hair, zenless zone zero setting
caesar king from zenless zone zero, mintgreen hair, zenless zone zero setting
calamity from fortnite, hot pink hair, fortnite setting
calie liddle from zenescope, black hair, zenescope setting
calliope from dead cells dlc, blue hair, dead cells dlc setting
camilla from fire emblem fates, purple hair, fire emblem fates setting
cammy white from street fighter, blonde hair, street fighter setting
cana alberona from fairy tail, brown hair, fairy tail setting
cana alberona from fairy tail, red hair, fairy tail setting
canaan from canaan, blonde hair, canaan setting
candace from genshin impact, violet hair, genshin impact setting
candy cane from rumble roses, red hair, rumble roses setting
captain marvel from marvel, blonde hair, marvel setting
carmilla from fate grand order, silver hair, fate grand order setting
carol stanzack from savage reign, blonde hair, savage reign setting
carol tea from freedom planet, green hair, freedom planet setting
carole stanley from carole & tuesday, brown hair, carole & tuesday setting
carrie fernandez from castlevania 64, purple hair, castlevania 64 setting
casca from berserk, brown hair, berserk setting
cassandra alexandra from soul calibur, blonde hair, soul calibur setting
cassandra pentaghast from dragon age inquisition, black hair, dragon age inquisition setting
cassie cage from mortal kombat, blonde hair, mortal kombat setting
cassie lockheart from freezing, brown hair, freezing setting
catalyst from fortnite, white blue hair, fortnite setting
catherine from fire emblem, blonde hair, fire emblem setting
cathy glass from macross frontier, brown hair, macross frontier setting
cattleya from queens blade, purple hair, queens blade setting
catwoman from comics filme, black hair, comics filme setting
cecilia alcott from infinite stratos, blonde hair, infinite stratos setting
celes from final fantasy vi, blonde hair, final fantasy vi setting
celestine from how not to summon a demon lord, purple hair, how not to summon a demon lord setting
celica arfonia from rokuaka, blonde hair, rokuaka setting
celine from to love-ru, green hair, to love-ru setting
celty sturluson from durarara, brown hair, durarara setting
centaur from azur lane, blonde hair, azur lane setting
centorea shianus from monster musume, blonde hair, monster musume setting
cerebella from skullgirls, green hair, skullgirls setting
cha hae-in from solo leveling, blonde hair, solo leveling setting
chaika from cat planet cuties, purple hair, cat planet cuties setting
cham cham from samurai showdown, green hair, samurai showdown setting
chang'e from destiny child, blue hair, destiny child setting
chao ho from azur lane, black hair, azur lane setting
charles bonaparte from freezing, brown hair, freezing setting
charlotte bony from dr stone, blonde hair, dr stone setting
charlotte dunois from infinite stratos, blonde hair, infinite stratos setting
charlotte e yeager from strike witches, blonde hair, strike witches setting
charlotte pudding from one piece, brown hair, one piece setting
charlotte roselei from black clover, blonde hair, black clover setting
charlotte scherzen from valkyrie drive mermaid, blonde hair, valkyrie drive mermaid setting
charlotte from genshin impact, rose hair, genshin impact setting
charmy pappitson from black clover, black hair, black clover setting
charybdis from azur lane, light green hair, azur lane setting
chasca from genshin impact, dark red hair, genshin impact setting
cheetara from thundercats, blonde hair, thundercats setting
chel from the road to el dorado, brown hair, the road to el dorado setting
chell from portal, brown hair, portal setting
chelsea from akame ga kill, red hair, akame ga kill setting
cheshire from azur lane, navy blue hair, azur lane setting
chevreuse from genshin impact, purple hair, genshin impact setting
chi an from azur lane, dark purple hair, azur lane setting
chi-chi from dragon ball, black hair, dragon ball setting
chiaki kounoike from tenjo tenge, black hair, tenjo tenge setting
chie from golden boy, black hair, golden boy setting
chie from golden boy, black hair, golden boy setting
chiffon fairchild from freezing, brown hair, freezing setting
chiffon fairchild from freezing, brown hair, freezing setting
chifusa manyuu from manyuu hiken-chou, black hair, manyuu hiken-chou setting
chifusa manyuu from manyuu hikenchou, dark blue hair, manyuu hikenchou setting
chifuyu orimura from infinite stratos, black hair, infinite stratos setting
chiharu tsubameya from my deer friend nokotan, black hair, my deer friend nokotan setting
chika fujiwara from kaguya-sama love is war, rose hair, kaguya-sama love is war setting
chikage hizaki from triage x, red hair, triage x setting
chiori from genshin impact, brown hair, genshin impact setting
chisaki miyazaki from yuragi-sou no yuuna-san, brown hair, yuragi-sou no yuuna-san setting
chisato hasegawa from the testament of sister new devil, black hair, the testament of sister new devil setting
chisato hasegawa from the testament of sister new devil, brown hair, the testament of sister new devil setting
chisato nishikigi from lycoris recoil, blonde hair, lycoris recoil setting
chitoge kirisaki from nisekoi, blonde hair, nisekoi setting
chiyo kurihara from prison school, black hair, prison school setting
chiyuki from death parade, black hair, death parade setting
chizuru ichinose from rent-a-girlfriend, brown hair, rent-a-girlfriend setting
chizuru mizuhara from rent-a-girlfriend, brown hair, rent-a-girlfriend setting
chizuru yukimura from hakuouki, dark blue hair, hakuouki setting
chloe frazer from uncharted, black hair, uncharted setting
chloe gremory from aether gazer, purple hair, aether gazer setting
chloe price from life is strange, blue hair, life is strange setting
christie monteiro from tekken, brown hair, tekken setting
christie from dead or alive, white hair, dead or alive setting
christine from daraku gear, blonde hair, daraku gear setting
chun-li from street fighter, brown hair, street fighter setting
cinderella from zenescope, blonde hair, zenescope setting
cindy aurum from final fantasy xv, blonde hair, final fantasy xv setting
ciri from the witcher 3, platinum blonde hair, the witcher 3 setting
citlali from genshin impact, rose hair, genshin impact setting
claire redfield from resident evil, redbrown hair, resident evil setting
claire thomas from harukana receive, blonde hair, harukana receive setting
clare from claymore, blonde hair, claymore setting
clarice starling from das schweigen der lämmer, brown hair, das schweigen der lämmer setting
clarisse layer from edens zero, blonde hair, edens zero setting
clarke griffin from the 100, blonde hair, the 100 setting
claudette vance from queens blade, red hair, queens blade setting
claudette from queens blade, black hair, queens blade setting
claudia enfield from gakusen toshi asterisk, blonde hair, gakusen toshi asterisk setting
clemenceau from azur lane, silver hair, azur lane setting
cleveland from azur lane, blonde hair, azur lane setting
clorinde from genshin impact fontaine update, violet hair, genshin impact fontaine update setting
coconut from nekopara, silver hair, nekopara setting
collei from genshin impact, green hair, genshin impact setting
commander shepard female version from mass effect, red hair, mass effect setting
connie lee from dr stone, brown hair, dr stone setting
cooper from azur lane, brown hair, azur lane setting
corin wickes from zenless zone zero, light blue hair, zenless zone zero setting
corin wickes from zenless zone zero, mintgreen hair, zenless zone zero setting
cornelia li britannia from code geass, purple hair, code geass setting
corrin from fire emblem, blonde hair, fire emblem setting
cortana from halo, blueblack hair, halo setting
creo brand from freezing manga-version, brown hair, freezing manga-version setting
crimson viper from street fighter, red hair, street fighter setting
cyblade from image comics, black hair, image comics setting
d'vorah from mortal kombat, black hair, mortal kombat setting
dva from overwatch, brown hair, overwatch setting
daenerys targaryen from game of thrones, platinum blonde hair, game of thrones setting
dahliya rossetti from dahliya in bloom , red hair, dahliya in bloom  setting
daidouji from senran kagura, black hair, senran kagura setting
daki from demon slayer, white hair, demon slayer setting
dana from destiny child, purple hair, destiny child setting
dancer of the boreal valley from dark souls 3, black hair, dark souls 3 setting
darkness from konosuba, blonde hair, konosuba setting
darya nikitina from dr stone, blonde hair, dr stone setting
davi from destiny child, red hair, destiny child setting
dazzler from marvel, blonde hair, marvel setting
debbie from image comics, black hair, image comics setting
decapre from street fighter, blonde hair, street fighter setting
dehya from genshin impact, black hair, genshin impact setting
demi from fortnite, brown hair, fortnite setting
deutschland from azur lane, silver hair, azur lane setting
devonshire from azur lane, brown hair, azur lane setting
dhalua strong from americas best comics, black hair, americas best comics setting
diana from league of legends, silver white hair, league of legends setting
diane from seven deadly sins, brown hair, seven deadly sins setting
dimaria yesta from fairy tail, blonde hair, fairy tail setting
dixie clemets from rumble roses, blonde hair, rumble roses setting
dizzy from guilty gear, blue hair, guilty gear setting
doctor manhattan female from dc watchmen, black hair, dc watchmen setting
dominique baldwin from bloodstained ritual of the night, blonde hair, bloodstained ritual of the night setting
dominique royal from space adventure cobra, blonde hair, space adventure cobra setting
domino from deadpool 2, black hair, deadpool 2 setting
donna troy from dc comics titans reboot, black hair, dc comics titans reboot setting
doredhea arnault from fire emblem three houses, brown hair, fire emblem three houses setting
doredhy gale from zenescope, brown hair, zenescope setting
doredhy unsworth from black clover, purple hair, black clover setting
doredhy from princess principal, red hair, princess principal setting
dorothy unsworth from black clover, blonde hair, black clover setting
druuna from druuna comic, black hair, druuna comic setting
dunkerque from azur lane, silver hair, azur lane setting
dupli-kate kate cha from image comics, black hair, image comics setting
durandal from honkai impact 3rd, blonde hair, honkai impact 3rd setting
dusk from fortnite, white rose hair, fortnite setting
dwarf queen lana from tenkafuma, brown hair, tenkafuma setting
echidna from i am quitting heroing, rose hair, i am quitting heroing setting
echidna from queens blade, dark green hair, queens blade setting
echidna from queens blade, green hair, queens blade setting
echo from hawkeye echo, black hair, hawkeye echo setting
eda clawthorne from the owl house, grey hair, the owl house setting
edelgard from how not to summon a demon lord, blonde hair, how not to summon a demon lord setting
edelgard von hresvelg from fire emblem three houses, white hair, fire emblem three houses setting
eden from honkai impact 3rd, blonde hair, honkai impact 3rd setting
eiko kawasaki from ya boy kongming, hot pink hair, ya boy kongming setting
eileen galvin from silent hill 4, brown hair, silent hill 4 setting
eiris from tales of the abyss fan cult, white hairassins creed valhalla, blonde hair, assassins creed valhalla setting
ekaterina kurae from seikon no qwaser, blonde hair, seikon no qwaser setting
ekaterina kurae from seikon no qwaser, silver hair, seikon no qwaser setting
elbe from azur lane, black hair, azur lane setting
elektra from marvel comics, black hair, marvel comics setting
elena fisher from uncharted series, blonde hair, uncharted series setting
elena miyazawa from wanna be the strongest, blonde hair, wanna be the strongest setting
elena from street fighter, white hair, street fighter setting
eleven from stranger things, brown blonde shaved hair, stranger things setting
elf queen salucia from tenkafuma, blonde hair, tenkafuma setting
eli from 25 dimensional seduction, brown hair, 25 dimensional seduction setting
eliberty twilight from freezing, blonde hair, freezing setting
elina vance from queens blade, blonde hair, queens blade setting
elisa maza from gargoyles, black hairassins creed unity, red hair, assassins creed unity setting
elise from brown dust 2, blonde hair, brown dust 2 setting
elissa megan powers from empowered , blonde hair, empowered  setting
eliza from tekken, black hair, tekken setting
elizabeth liones from the seven deadly sins, platinum blonde hair, the seven deadly sins setting
elizabeth mably from freezing manga-version, blonde hair, freezing manga-version setting
elizabeth mably from freezing, blonde hair, freezing setting
elizabeth thompson from soul eater, blonde hair, soul eater setting
elizabeth from bioshock infinite, brown hair, bioshock infinite setting
elizabeth from seikon no qwaser, blonde hair, seikon no qwaser setting
elize schmitz from freezing, blue hair, freezing setting
elle woods from legally blondee, blonde hair, legally blondee setting
ellen joe from zenless zone zero, light blue hair, zenless zone zero setting
ellen joe from zenless zone zero, black hair, zenless zone zero setting
ellie from borderlands, red hair, borderlands setting
elma from miss kobayashis dragon maid, black hair, miss kobayashis dragon maid setting
elmenhilde karnstein from high school dxd, rose hair, high school dxd setting
elphaba from wicked, black hair, wicked setting
elphelt valentine from guilty gear, rose hair, guilty gear setting
elsa granhiert from rezero, black hair, rezero setting
elvira mistress of the dark from , black hair,  setting
elysia from honkai impact 3rd, pink hair, honkai impact 3rd setting
ember from fortnite, white hair, fortnite setting
emden from azur lane, white hair, azur lane setting
emerald herald from dark souls 2, redbrown hair, dark souls 2 setting
emilia from rezero, silver hair, rezero setting
emilie from genshin impact, blonde hair, genshin impact setting
emily orange from kandagawa jet girls, orange hair, kandagawa jet girls setting
emily thomas from harukana receive, blonde hair, harukana receive setting
emma frost from comics, blonde hair, comics setting
emma, high priestess of lothric castle from dark souls 3, blonde hair, dark souls 3 setting
empress from last origin, black hair, last origin setting
enchantress from shovel knight, violet hair, shovel knight setting
enid sinclair from wednesday, bunt blonde hair, wednesday setting
enta-girl from snk, blonde hair, snk setting
enterprise from azur lane, blonde hair, azur lane setting
erica hartmann from strike witches, blonde hair, strike witches setting
erika amano from a couple of cuckoos, redbrown hair, a couple of cuckoos setting
erina nakiri from food wars, blonde hair, food wars setting
erina nakiri from shokugeki no souma, blonde hair, shokugeki no souma setting
eris boreas greyrat from mushoku tensei, red hair, mushoku tensei setting
eris from cat planet cuties, orange hair, cat planet cuties setting
erza scarlet from fairy tail, red hair, fairy tail setting
erza scarlet from fairy tail, red hair, fairy tail setting
esdeath from akame ga kill, blue hair, akame ga kill setting
esmeralda from hunchback of notre dame, black hair, hunchback of notre dame setting
essex from azur lane, brown hair, azur lane setting
ethel from xenoblade chronicles 3, blonde hair, xenoblade chronicles 3 setting
eula from genshin impact, light blue hair, genshin impact setting
eunie from xenoblade chronicles 3, blonde hair, xenoblade chronicles 3 setting
eva from record of ragnarok, blonde hair, record of ragnarok setting
eve wakamiya from bang dream, white hair, bang dream setting
eve from destiny child, purple hair, destiny child setting
evelyn chevalier from zenless zone zero, blonde hair, zenless zone zero setting
evelyn from zenless zone zero, purple hair, zenless zone zero setting
evelynn from league of legends, white purple hot pink hairassins creed syndicate, brown hair, assassins creed syndicate setting
fable from fortnite, red hair, fortnite setting
faith connors from mirrors edge, black hair, mirrors edge setting
falke from street fighter, brown hair, street fighter setting
farah oersted from tales of eternia, red hair, tales of eternia setting
faris from final fantasy v, purple hair, final fantasy v setting
farnese de vandimion from berserk, blonde hair, berserk setting
faruzan from genshin impact, light blue hair, genshin impact setting
fate testarossa from lyrical nanoha, blonde hair, lyrical nanoha setting
faye valentine from cowboy bebop, violet hair, cowboy bebop setting
fel from campfire cooking in another world, silver hair, campfire cooking in another world setting
felicia from darkstalkers, blue hair, darkstalkers setting
felix argyle from rezero, brown hair, rezero setting
filia medici from skullgirls, blue hair, skullgirls setting
filia from skullgirls, black hair, skullgirls setting
filia from skullgirls, black hair, skullgirls setting
filo adult version from the rising of the shield hero, blonde hair, the rising of the shield hero setting
fiona frost from spy x family, blue hair, spy x family setting
fiona ran winchester from triage x, silver/white hair, triage x setting
fire keeper from dark souls 3, blonde hair, dark souls 3 setting
firefly from honkai star rail , silver hair, honkai star rail  setting
fischl from genshin impact, blonde hair, genshin impact setting
flare arlgrande jioral from redo of healer, rose hair, redo of healer setting
flare corona from fairy tail, red hair, fairy tail setting
flayn from fire emblem three houses, green hair, fire emblem three houses setting
formidable from azur lane, blonde hair, azur lane setting
francesca lucchini from strike witches, black hair, strike witches setting
francine smith from american dad, blonde hair, american dad setting
frej from destiny child, white hair, destiny child setting
freminet from genshin impact, blue hair, genshin impact setting
frey from mother of the goddess dormitory, blonde hair, mother of the goddess dormitory setting
freya from danmachi is it wrong to pick up girls in a dungeon, white hair, danmachi is it wrong to pick up girls in a dungeon setting
freyja wion from macross delta, red hair, macross delta setting
freyna from the first descendant , green hair, the first descendant  setting
friedrich der große from azur lane, platinum blonde hair, azur lane setting
frieren from frieren beyond journeys end, silver hair, frieren beyond journeys end setting
fritz rumey from azur lane, grey hair, azur lane setting
frost from mortal kombat, light blue hair, mortal kombat setting
fubuki from kancolle, black hair, kancolle setting
fubuki from one punch man, dark green hair, one punch man setting
fujiko mine from lupin 3, brown hair, lupin 3 setting
furina from genshin impact fontaine update, light blue hair, genshin impact fontaine update setting
furiosa from mad max fury road, short shaved hair, mad max fury road setting
futaba kutsuki from green green, brown hair, green green setting
future princess from guardian tales, blonde hair, guardian tales setting
fuuka tamaki from kandagawa jet girls, brown hair, kandagawa jet girls setting
gabriel from high school dxd, white hair, high school dxd setting
gaige from borderlands, orange hair, borderlands setting
galadriel from the rings of power, blonde hair, the rings of power setting
galatea from claymore, blonde hair, claymore setting
galko from please tell me galko-chan, blonde hair, please tell me galko-chan setting
gally alita from battle angel alita, black hair, battle angel alita setting
gamora from marvel comics guardians of the galaxy, green hair, marvel comics guardians of the galaxy setting
ganyu from genshin impact, light blue hair, genshin impact setting
garnet from dr stone, blonde hair, dr stone setting
garnet from final fantasy ix, black hair, final fantasy ix setting
garterbelt female form from panty & stocking, black hair, panty & stocking setting
garterbelt female form from panty & stocking, black hair, panty & stocking setting
gebel’s sister from bloodstained ritual of the night, black hair, bloodstained ritual of the night setting
gengchen from aether gazer, silver hair, aether gazer setting
gengo ao from freezing, blue hair, freezing setting
geraldine from arcane, white hair, arcane setting
gertrud barkhorn from strike witches, brown hair, strike witches setting
gertrud barkhorn from strike witches, brown hair, strike witches setting
ghislaine dedoldia from mushoku tensei, platinum blonde hair, mushoku tensei setting
ghost elisa cameron from dark horse, black hair, dark horse setting
ginko yurishiro from yurikuma arashi, silver hair, yurikuma arashi setting
glimmer from xenoblade chronicles 3, pink hair, xenoblade chronicles 3 setting
glinda from wicked, blonde hair, wicked setting
glorious from azur lane, blonde hair, azur lane setting
glory gloriana demeter from image comics, silver hair, image comics setting
gneisenau from azur lane, brown hair, azur lane setting
gnome from last origin, pink hair, last origin setting
